time,num_collisions,num_null_collisions,num_electrons,num_cations,num_anions,mean_energy,mean_position_x,mean_position_y,mean_position_z,var_position_x,var_position_y,var_position_z,mean_velocity_x,mean_velocity_y,mean_velocity_z,mean_velocity_moment_x,mean_velocity_moment_y,mean_velocity_moment_z
2.2591260979050573e-12,1610.0,8390.0,10000.0,0.0,0.0,2.4597004794096944,1.0423590737575747e-09,-8.939945139325429e-10,2.458963504814829e-07,4.493663203304139e-14,4.492938430055626e-14,1.958528803453454e-14,2395.9655088064837,-4413.4742441234,36867.229151807216,0.008507564919947506,0.010399531177565579,0.010777641329958693
2.2708354182922925e-12,705.0,9295.0,10000.0,0.0,0.0,2.4632606201599723,1.0291283432246604e-09,-9.530668336495722e-10,2.4642505261879665e-07,4.5160851669444913e-14,4.5205175821671626e-14,1.9647435547376627e-14,-1129.9315498564854,-5044.897377769804,57582.74679646047,0.01125101742103123,0.013476869307081805,0.01852375653950878
2.275971721416526e-12,1578.0,8422.0,10000.0,0.0,0.0,2.463003247201601,1.0374340481066974e-09,-9.62513949410599e-10,2.4669488372782505e-07,4.527012513508502e-14,4.5340130984014347e-14,1.9684040810536893e-14,1617.0589393080027,-1839.2831444184858,57986.75782424839,0.011372123061665651,0.013885163305447592,0.018605717733561487
2.2889830907682564e-12,642.0,9358.0,10000.0,0.0,0.0,2.4718267703323678,9.693079348814636e-10,-1.0479966687760088e-09,2.475619657154236e-07,4.560061412218739e-14,4.570796149656609e-14,1.9831403547852548e-14,-5235.891118268456,-6569.848034791406,80453.07427041941,0.014536706861980272,0.016024783541550652,0.027469381448403527
2.290249038336309e-12,1600.0,8400.0,10000.0,0.0,0.0,2.467882801763529,9.64078660377715e-10,-1.0580518028215694e-09,2.4763754706697035e-07,4.563081281396078e-14,4.57407919937938e-14,1.9841941371396085e-14,-4130.719656732629,-7942.772907275149,61047.29966961159,0.012101387854514183,0.013159640715814038,0.019464184805513648
2.295977132708674e-12,1416.0,8584.0,10000.0,0.0,0.0,2.468331934434326,9.60303121214661e-10,-1.1012304756963687e-09,2.479090581229222e-07,4.5766830353083166e-14,4.589227082489576e-14,1.9875893953837596e-14,-659.1265641971163,-7538.051936280596,53480.78063666581,0.012673630126608817,0.014070392060432809,0.017059405798019688
2.3031118571156234e-12,1424.0,8576.0,10000.0,0.0,0.0,2.470444999943434,9.061765252620449e-10,-1.1320933998786305e-09,2.482491239286666e-07,4.594030784584563e-14,4.607641698260053e-14,1.9916083719782164e-14,-7586.361135392067,-4325.734593504309,55237.634588858775,0.013148589382374055,0.01394832946764225,0.01758140899244035
2.3098168509277264e-12,1440.0,8560.0,10000.0,0.0,0.0,2.4716626587897146,8.431790952486534e-10,-1.1537309660698681e-09,2.4859714429247116e-07,4.610620626382053e-14,4.623781013598816e-14,1.9959502649960898e-14,-9395.598531303058,-3227.0822013556935,59022.606203332434,0.013315707988681666,0.013012396272320304,0.018887697907931662
2.3113247601756106e-12,1661.0,8339.0,10000.0,0.0,0.0,2.4700032678237824,8.278206079934577e-10,-1.1564336876888898e-09,2.486570635015275e-07,4.613785531973669e-14,4.627005292660657e-14,1.9964835596377738e-14,-10185.286201239265,-1792.3635807739556,41337.39644188083,0.010700736985153423,0.010911833565037605,0.01226751585694516
2.318574861045788e-12,1338.0,8662.0,10000.0,0.0,0.0,2.4710147543514944,8.001572854454667e-10,-1.1250038079123191e-09,2.4893460082604316e-07,4.629545935362583e-14,4.6423159081778186e-14,1.9992401898522462e-14,-3815.5776096550167,4335.095516512427,45977.113143926996,0.011898188043387785,0.011613016117938676,0.014398409541132542
2.328010715708957e-12,1099.0,8901.0,10000.0,0.0,0.0,2.4741208666430277,7.852912168553492e-10,-1.1075271375759864e-09,2.4944380360691564e-07,4.652744932541831e-14,4.6639589371260335e-14,2.0064129459214638e-14,-1575.4872367995374,1852.1555238180179,63981.67987036232,0.013635636192366294,0.012847835163115565,0.02112208152517394
2.3303526541570515e-12,1604.0,8396.0,10000.0,0.0,0.0,2.4719397186499728,7.929680017587882e-10,-1.0953181718108078e-09,2.4955582163769447e-07,4.658441548600692e-14,4.668963800545262e-14,2.0080087662906313e-14,3277.9618566344748,5213.188149805625,50317.508734902025,0.012501415392647208,0.011021419944992273,0.016300808434205866
2.3323406847242684e-12,1648.0,8352.0,10000.0,0.0,0.0,2.468823430292109,7.892923945112991e-10,-1.0861438179346303e-09,2.4963535388701627e-07,4.662603757465482e-14,4.6730219353700174e-14,2.00883945747122e-14,-1848.8685778275692,4614.795178436202,42116.0201231849,0.010752058940292913,0.010490466457158313,0.012889930868824154
2.342272865571268e-12,997.0,9003.0,10000.0,0.0,0.0,2.4718591888455825,7.493594709152447e-10,-1.0676197920340381e-09,2.5008927412732377e-07,4.685058955533742e-14,4.6958947730575125e-14,2.0136777813386628e-14,-4020.5594532763585,1865.051209391499,56245.87600346785,0.012722720256268527,0.012956009454621272,0.01793947233665309
2.34970638572373e-12,1238.0,8762.0,10000.0,0.0,0.0,2.4738684116561402,7.154512362478186e-10,-1.0424805728970183e-09,2.5047499468575576e-07,4.704657224800927e-14,4.712997323987099e-14,2.0195004037719465e-14,-4561.531276160618,3381.872736121434,59780.70553505753,0.014254157770513694,0.012577589948783606,0.01995851718550268
2.352158266100208e-12,1570.0,8430.0,10000.0,0.0,0.0,2.472878387227773,7.002558840980808e-10,-1.033722643221544e-09,2.505822677386996e-07,4.710282229302529e-14,4.7186164062185736e-14,2.020727252717901e-14,-6197.428021168065,3571.9237200526013,46354.23237667775,0.011819542250853781,0.011811556690492128,0.014471499286054842
2.352765041472614e-12,1747.0,8253.0,10000.0,0.0,0.0,2.468515447432522,6.991328597409132e-10,-1.031203298584555e-09,2.5060142167166293e-07,4.711647037696485e-14,4.7198868191789636e-14,2.0209368421779326e-14,-1850.807412825102,4152.021903922701,32210.90741519542,0.011332832034471009,0.010552584187961806,0.009886270997366883
2.3589625964783393e-12,1405.0,8595.0,10000.0,0.0,0.0,2.46885165854168,7.233964154183178e-10,-9.900825269521451e-10,2.5079866445567357e-07,4.724545688079292e-14,4.732902699762048e-14,2.0234266176888765e-14,3915.0206258742087,6634.999059213106,38405.16610368258,0.011296267629698308,0.011392405128589236,0.012541678777770654
2.360315282136831e-12,1595.0,8405.0,10000.0,0.0,0.0,2.46619924346439,7.354214165505357e-10,-9.77891782705849e-10,2.508402187208069e-07,4.727294050367644e-14,4.735402787219824e-14,2.023860576998649e-14,8889.723238158944,9012.252159078658,32155.82156845832,0.010361095899453244,0.009426438563445619,0.009866271080294278
2.36482682299155e-12,1575.0,8425.0,10000.0,0.0,0.0,2.465924484141933,7.36256018595361e-10,-9.424863676617563e-10,2.5098604356258953e-07,4.7351879747899944e-14,4.7438254598954175e-14,2.0259542189603363e-14,184.99268247831222,7847.743417209238,37112.03188781792,0.009401215909849193,0.009971040919274038,0.012292041025977512
2.3721593623559004e-12,1299.0,8701.0,10000.0,0.0,0.0,2.4671178037877466,7.539303895377596e-10,-8.964872802853648e-10,2.512484016957719e-07,4.7488450559173434e-14,4.758418334277791e-14,2.030829106398777e-14,2410.402462798745,6273.282022873659,43564.134273511816,0.010366614732211768,0.011001433720043877,0.015335753500455922
2.3752855248592475e-12,1557.0,8443.0,10000.0,0.0,0.0,2.465803952981935,7.6213229381161e-10,-8.761682707037897e-10,2.513664205179923e-07,4.754959957957518e-14,4.764695770973191e-14,2.0333425013943494e-14,2623.6333732072712,6499.6651836938245,41070.68256701115,0.01023050013272099,0.01048660264761293,0.014796371473136801
2.38558713136843e-12,852.0,9148.0,10000.0,0.0,0.0,2.470001351499118,8.086941764520438e-10,-8.359705672573431e-10,2.518335105880256e-07,4.7769237451736054e-14,4.7890898221912544e-14,2.0437165613678e-14,4519.866158635478,3902.0810405266097,56277.562208854506,0.012136153382661144,0.013327366813522704,0.020703728033439627
2.3931302229358516e-12,1217.0,8783.0,10000.0,0.0,0.0,2.471668506320065,8.642870479342961e-10,-8.32842609612791e-10,2.5220970523722523e-07,4.795023402709355e-14,4.8089757668303824e-14,2.0508463227753005e-14,7370.037999055409,414.6784665933259,57880.412115101055,0.013084327037983595,0.014271101306183653,0.020419993052462733
2.4095432906379146e-12,495.0,9505.0,10000.0,0.0,0.0,2.4844843252401803,9.71451169257258e-10,-8.902945419973273e-10,2.533640653751045e-07,4.84342391102201e-14,4.86080735832076e-14,2.0756230161294298e-14,6529.195106499858,-3500.3774691865324,87755.72269230889,0.01710955964936706,0.018167846426840585,0.03215676087436742
2.4228411451913277e-12,630.0,9370.0,10000.0,0.0,0.0,2.497334558060969,1.0177744982178167e-09,-9.023242346398739e-10,2.5458026015932127e-07,4.889748523280916e-14,4.910140355816145e-14,2.1030581343698416e-14,3483.518997330898,-904.634096743088,105574.84114312656,0.01933788464433724,0.02047789674617812,0.03911548218220011
2.4352681204888087e-12,737.0,9263.0,10000.0,0.0,0.0,2.5117283991769725,1.0567275918802615e-09,-9.547523513230574e-10,2.5588328795108697e-07,4.938286185869784e-14,4.9610415330733864e-14,2.131435618506169e-14,3134.5595150849513,-4218.896024828427,118047.13670698767,0.021333815619615677,0.02229932314940077,0.043410536138708315
2.4356383369389625e-12,1922.0,8078.0,10000.0,0.0,0.0,2.5078432551407115,1.0599227006787232e-09,-9.569307661193163e-10,2.559132352980871e-07,4.939599626028063e-14,4.962288824669987e-14,2.1319809684832168e-14,8630.380408907882,-5884.165318300152,81284.47226814624,0.017802171650842146,0.01690470065994065,0.028221268700383353
2.437213436546778e-12,1628.0,8372.0,10000.0,0.0,0.0,2.506185177871852,1.0623760513730418e-09,-9.664638582571793e-10,2.560028219429508e-07,4.943797854552476e-14,4.9669856175736865e-14,2.133340799567724e-14,1557.5844741148196,-6052.374142283606,58548.922558543454,0.013559360674108288,0.015143165810504268,0.01953825784685027
2.445600537007205e-12,1252.0,8748.0,10000.0,0.0,0.0,2.5092732134928664,1.0526685761682669e-09,-1.0304193491815784e-09,2.565088368235547e-07,4.96630333331378e-14,4.9916437809834635e-14,2.141449600799499e-14,-1157.4292272491123,-7625.459027963268,69236.17994053323,0.014655283306233014,0.015917503219871513,0.02382558717099302
2.453786787157716e-12,1240.0,8760.0,10000.0,0.0,0.0,2.513709813955713,1.0252329176735646e-09,-1.0717674096797857e-09,2.5705255262062346e-07,4.989558495224645e-14,5.0162669361878956e-14,2.151581305516019e-14,-3351.431728847424,-5050.915833011446,75108.61753746415,0.01539023698059203,0.016248150345313468,0.026697861955366012
