time,num_collisions,num_null_collisions,num_electrons,num_cations,num_anions,mean_energy,mean_position_x,mean_position_y,mean_position_z,var_position_x,var_position_y,var_position_z,mean_velocity_x,mean_velocity_y,mean_velocity_z,mean_velocity_moment_x,mean_velocity_moment_y,mean_velocity_moment_z
3.901986824886616e-14,129.0,9871.0,10000.0,0.0,0.0,1.4694946169065846,1.4372660941203641e-11,-3.16533645491614e-11,1.3260949174912336e-08,3.285053646896899e-18,3.1900994364163596e-18,1.1521859214749249e-17,1012.7773609984565,-1954.1084492882542,665008.1643047117,0.00019140281506436753,0.00018665359759874607,0.009484239762833137
4.115886427297068e-14,230.0,9770.0,10000.0,0.0,0.0,1.6286710240882076,1.559306561705212e-11,-3.6588181312586736e-11,1.4694277916797315e-08,4.1756987649536214e-18,4.052525434084373e-18,1.4564264539571594e-17,570.5502310876876,-2307.0714988782,690984.9398651118,0.00022692459538173687,0.00022015450437643685,0.010929578300541825
4.3455482563613467e-14,207.0,9793.0,10000.0,0.0,0.0,1.8066025370453498,1.595232218292946e-11,-4.2036645977964206e-11,1.6296544426994782e-08,5.310104402469386e-18,5.1706152985191264e-18,1.8419980079062357e-17,156.42850505069384,-2372.3858194356435,720093.6125683471,0.00027139502946735717,0.00026812037784015874,0.0126597546934514
4.4994932408720505e-14,437.0,9563.0,10000.0,0.0,0.0,1.92644523805729,1.4845456208960747e-11,-4.232952309688359e-11,1.7375773395879377e-08,6.195839952283152e-18,6.050136318542322e-18,2.1318878697432456e-17,-719.0009973281993,-190.24791216826122,716083.7123999086,0.00031128708824111194,0.00030999722308550315,0.013463009103142985
4.6534003692715646e-14,453.0,9547.0,10000.0,0.0,0.0,2.0452813064634183,1.5351604754474674e-11,-4.4035203029326455e-11,1.8445939758714598e-08,7.220207585248942e-18,7.06971001537976e-18,2.457175026779937e-17,328.8662135258885,-1108.2527171940021,710364.0899197899,0.00036366968296219505,0.0003631626030639669,0.014262662351929935
5.130164648983716e-14,250.0,9750.0,10000.0,0.0,0.0,2.435382403030381,2.0310996775314044e-11,-4.554837945910439e-11,2.195850954966328e-08,1.1663658125444497e-17,1.1491734136923779e-17,3.866279766817391e-17,1040.2188737448284,-317.38460580384174,783315.6783574383,0.0005744894946307431,0.0005744857694322739,0.019038534491590046
5.3443453215195797e-14,374.0,9626.0,10000.0,0.0,0.0,2.619042456110813,2.1837987329909636e-11,-4.3562489322647244e-11,2.3612492175629854e-08,1.431683214820664e-17,1.4146897893129815e-17,4.6969270793252356e-17,712.9450741359036,927.2032405840121,793155.3373610039,0.0006788789298375497,0.0006811098327358826,0.020859613049658127
5.604885455912315e-14,375.0,9625.0,10000.0,0.0,0.0,2.8461819479015986,2.683426302767163e-11,-4.058131176892578e-11,2.5658787540141786e-08,1.822804473942577e-17,1.810097058274892e-17,5.890182571909997e-17,1917.6606742017955,1144.229682950756,810851.0354604641,0.0008370543202696619,0.0008479665412971243,0.023367560752264413
5.750269081859222e-14,725.0,9275.0,10000.0,0.0,0.0,2.9681117369977694,2.735464585602083e-11,-3.884804645347525e-11,2.6760334721343194e-08,2.0728552017608997e-17,2.0652725194827997e-17,6.614718356405747e-17,357.93771475973864,1192.2011878308065,771882.1914050805,0.0009234904733926051,0.0009446443286853181,0.023342879844943272
5.884195452917705e-14,879.0,9121.0,10000.0,0.0,0.0,3.0721880888892907,2.6445705093495668e-11,-3.9690800366825745e-11,2.770616194481047e-08,2.326725721560715e-17,2.322329396006614e-17,7.303628081953245e-17,-678.6869197913531,-629.2665937931486,719309.3550911968,0.0010247215078910145,0.0010387819099788925,0.02272245974787026
6.132520070081462e-14,461.0,9539.0,10000.0,0.0,0.0,3.2664748327892177,2.1123934046683456e-11,-3.2305253376797166e-11,2.945809169472041e-08,2.898064237502772e-17,2.9036863792291206e-17,8.813027458426377e-17,-2143.0702713226324,2974.150156509935,729752.7735605601,0.0013089147235177774,0.001334739984434873,0.024978869233502874
6.360581107426736e-14,478.0,9522.0,10000.0,0.0,0.0,3.445898231210216,2.1195286908965654e-11,-2.6041811504990294e-11,3.108374056757347e-08,3.5434737386555504e-17,3.568997997926539e-17,1.0495314407910709e-16,31.286739336438618,2746.388398788315,735086.9417777384,0.0015771835665017286,0.0016265290508051834,0.026973363023462683
6.54465100830178e-14,726.0,9274.0,10000.0,0.0,0.0,3.5848245124579696,2.144495135955138e-11,-1.9781535637502078e-11,3.234895156566413e-08,4.149178392109941e-17,4.1939322830059916e-17,1.1994305556098884e-16,135.63567394716915,3401.0318024444355,705330.9745139034,0.0017992827513467595,0.0018524966606893436,0.02728222500311297
